#;Org.;Serie;Test;Nr.;Version;Messfühler;PEAK;PEACOCK;Median_EXP;Median_SIM
108;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_205;0.09;0.13;78.93;84.22
109;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_180;0.1;0.15;74.61;80.81
110;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_155;0.08;0.14;71.91;76.49
111;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_130;0.08;0.15;69.66;74.15
112;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_105;0.07;0.16;65.88;71.36
113;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_080;0.09;0.17;62.6;68.55
114;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_055;0.11;0.19;56.93;64.96
115;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_030;0.18;0.24;50.78;62.34
116;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_005;0.44;0.4;38.95;55.44
117;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_130;0.33;0.15;88.51;94.78
118;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_110;0.5;0.28;95.26;114.58
119;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_090;0.47;0.44;113.81;161.87
120;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_070;0.2;0.17;150.96;171.87
121;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_050;-0.12;0.18;176.76;147.06
122;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_030;-0.25;0.31;176.18;120.1
123;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_010;0.28;0.17;93.66;101.35
124;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_170;0.28;0.17;102.02;112.54
125;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_150;0.47;0.3;107.74;135.22
126;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_130;0.34;0.26;123.17;152.73
127;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_110;0.05;0.14;144.24;126.02
128;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_090;-0.08;0.19;137.7;112.3
129;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_070;-0.07;0.15;123.03;104.87
130;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_050;-0.06;0.13;116.88;102.1
131;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_030;-0.01;0.1;106.99;100.45
132;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_220;0.21;0.16;123.04;137.09
133;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_190;0.2;0.15;127.75;141.07
134;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_170;0.13;0.12;133.27;140.64
135;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_150;0.1;0.1;135.24;135.94
136;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_130;0.05;0.11;134.74;129.09
137;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_110;0.05;0.11;128.76;123.19
138;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_090;0.07;0.11;122.94;118.65
139;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_070;0.07;0.11;118.93;115.08
140;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_050;0.07;0.1;116.81;112.46
141;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_030;0.07;0.1;113.61;110.23
142;IRSN;PRISME;DOOR;3;FDS607;TG_L1_TA_HW;-0.02;0.15;254.43;234.85
143;IRSN;PRISME;DOOR;3;FDS607;TG_L1_TA_BW;0.23;0.1;79.08;77.75
144;IRSN;PRISME;DOOR;3;FDS607;TG_L2_TA_HW;0.11;0.13;109.88;106.11
145;IRSN;PRISME;DOOR;3;FDS607;TG_L2_TA_BE;0.2;0.28;53.61;66.95
146;IRSN;PRISME;DOOR;3;FDS607;TG_L2_TA_HE;0.05;0.1;115.14;110.8
147;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NC265;-0.16;0.15;88.82;75.76
148;IRSN;PRISME;DOOR;3;FDS607;TP_L1_SC265;-0.14;0.13;84.86;74.99
149;IRSN;PRISME;DOOR;3;FDS607;TP_L1_EC255;-0.05;0.05;81.01;77.7
150;IRSN;PRISME;DOOR;3;FDS607;TP_L1_WC260;-0.09;0.07;86.59;80.74
151;IRSN;PRISME;DOOR;3;FDS607;TP_L1_PL_CE;6.93;5.61;28.63;206.5
152;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NE040;0.01;0.03;40.44;41.44
153;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NE155;-0.06;0.04;58.9;57.33
154;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NE265;0.01;0.02;76.77;78.03
155;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NE355;-0.11;0.11;94.87;83.94
156;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NC265;0.04;0.05;37.23;38.71
157;IRSN;PRISME;DOOR;3;FDS607;TP_L2_SC260;-0.05;0.05;40.27;38.34
158;IRSN;PRISME;DOOR;3;FDS607;TP_L2_EC260;0.05;0.05;38.68;40.45
159;IRSN;PRISME;DOOR;3;FDS607;TP_L2_WC260;-0.03;0.03;41.04;39.96
160;IRSN;PRISME;DOOR;3;FDS607;TP_L2_PL_CE;2.7;2.22;26.95;92.72
161;IRSN;PRISME;DOOR;3;FDS607;TP_L2_SOL_CE;-0.0;0.02;30.76;31.03
162;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NE030;0.04;0.05;29.79;31.2
163;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NE155;0.01;0.02;33.78;34.06
164;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NE260;0.03;0.04;38.23;39.25
165;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NE355;-0.0;0.01;40.85;40.83
166;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_HW_CENTRE;-0.49;0.53;160.54;98.68
167;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_HW_INTER;-0.44;0.44;177.05;122.57
168;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_HW_SURF;-0.41;0.41;263.52;149.89
169;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_BW_CENTRE;-0.28;0.3;85.12;58.38
170;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_BW_INTER;-0.2;0.18;88.33;71.56
171;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_BW_SURF;-0.08;0.11;91.72;84.8
172;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HW_CENTRE;-0.33;0.34;79.56;50.82
173;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HW_INTER;-0.32;0.32;86.11;56.68
174;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HW_SURF;-0.26;0.25;87.47;65.27
175;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_BE_CENTRE;-0.14;0.12;41.52;36.32
176;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_BE_INTER;-0.1;0.07;43.71;41.11
177;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_BE_SURF;-0.0;0.1;45.75;46.45
178;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HE_CENTRE;-0.35;0.37;85.04;51.04
179;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HE_INTER;-0.32;0.32;88.85;57.95
180;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HE_SURF;-0.25;0.25;90.12;66.98
181;IRSN;PRISME;DOOR;3;FDS607;CO_L1_FP;-0.06;0.11;0.0;0.0
182;IRSN;PRISME;DOOR;3;FDS607;CO_L1_HAUT;0.03;0.09;0.0;0.0
183;IRSN;PRISME;DOOR;3;FDS607;CO_L1_BAS;0.13;0.16;0.0;0.0
184;IRSN;PRISME;DOOR;3;FDS607;CO_L2_HAUT;0.01;0.05;0.0;0.0
185;IRSN;PRISME;DOOR;3;FDS607;CO_L2_BAS;-0.05;0.09;0.0;0.0
186;IRSN;PRISME;DOOR;3;FDS607;CO2_L1_FP;-0.2;0.23;0.03;0.02
187;IRSN;PRISME;DOOR;3;FDS607;CO2_L1_HAUT;-0.16;0.14;0.04;0.04
188;IRSN;PRISME;DOOR;3;FDS607;CO2_L1_BAS;-0.07;0.23;0.03;0.03
189;IRSN;PRISME;DOOR;3;FDS607;CO2_L2_HAUT;-0.23;0.2;0.03;0.03
190;IRSN;PRISME;DOOR;3;FDS607;CO2_L2_BAS;-0.24;0.24;0.03;0.02
191;IRSN;PRISME;DOOR;3;FDS607;O2_L1_FP;0.05;0.05;0.16;0.17
192;IRSN;PRISME;DOOR;3;FDS607;O2_L1_HAUT;0.05;0.04;0.14;0.14
193;IRSN;PRISME;DOOR;3;FDS607;O2_L1_BAS;0.02;0.06;0.16;0.16
194;IRSN;PRISME;DOOR;3;FDS607;O2_L2_HAUT;0.06;0.04;0.16;0.16
195;IRSN;PRISME;DOOR;3;FDS607;O2_L2_BAS;0.06;0.04;0.16;0.17
196;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_205;-0.31;0.32;2.38;1.65
197;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_192_5;-0.21;0.21;2.09;1.68
198;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_180;-0.18;0.22;1.81;1.44
199;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_167_5;-0.19;0.22;1.56;1.23
200;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_155;-0.27;0.3;1.29;0.91
201;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_142_5;-0.2;0.21;0.96;0.82
202;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_130;-0.15;0.72;0.39;0.67
203;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_117_5;-1.93;1.81;-0.52;0.51
204;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_105;-1.77;1.35;-0.5;0.13
205;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_092_5;-0.31;0.39;-0.54;-0.35
206;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_080;-0.29;0.39;-0.72;-0.44
207;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_055;-0.14;0.21;-0.75;-0.64
208;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_030;-0.31;0.35;-1.03;-0.72
209;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_005;-0.25;0.21;-0.86;-0.74
210;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_S105;-0.8;0.98;-0.64;-0.05
