#;Org.;Serie;Test;Nr.;Version;Messfühler;PEAK;PEACOCK;Median_EXP;Median_SIM
218;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_180;-0.12;0.37;1.74;1.02
219;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_167_5;-0.11;0.41;1.48;0.83
220;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_155;-0.23;0.49;1.22;0.57
221;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_142_5;-0.2;0.5;0.79;0.4
222;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_130;-0.13;0.86;0.26;0.27
223;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_117_5;0.03;1.32;-0.58;0.14
224;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_105;-1.86;1.0;-0.65;-0.06
225;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_092_5;-0.27;0.49;-0.53;-0.33
226;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_080;-0.28;0.43;-0.71;-0.37
227;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_055;-0.24;0.37;-0.67;-0.43
228;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_030;-0.3;0.51;-1.05;-0.45
229;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_005;-0.25;0.46;-0.81;-0.45
230;IRSN;PRISME;DOOR;5;FDS607;V_L1_L2_S105;-1.74;0.96;-0.71;-0.06
